[GIN] 2018/11/01 - 17:21:31 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:21:41 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:21:45 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:22:07 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:22:48 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:22:56 | 200 |      1.0001ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:23:55 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:25:30 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:26:30 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:29:36 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:29:42 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:45:30 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:46:02 | 400 |      1.0001ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:46:24 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 18:00:41 | 400 |      1.0001ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 18:00:59 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 18:01:23 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 18:24:46 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 18:26:54 | 200 |           1ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 18:32:31 | 200 |      1.0001ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 19:52:11 | 200 |      8.0005ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 20:03:22 | 200 |      1.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 20:09:38 | 200 |      1.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 20:29:11 | 200 |      2.0001ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 20:32:16 | 500 |      2.0002ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 20:34:23 | 500 |           1ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 20:35:11 | 500 |      1.0001ms |             ::1 | PUT      /api/menureset
